Element,Type,Flow Name,Load Name,Load New Name
Main Pit,In,T_Direct_Precip_Main_Pit,T_Direct_Precip_Main_CT,T_Direct_Precip_Main_Pit_CT
Main Pit,In,T_Pit_Wall_Runoff_Main,T_Pit_Wall_Runoff_Main_CT,
Main Pit,In,T_Local_Runoff_Main_Pit,T_Local_Runoff_Main_Pit_CT,
Main Pit,In,T_EBFR_US_to_Main_Pit,T_EBFR_US_to_Main_Pit_CT,
Main Pit,In,T_WWSF_Q_from_Exposed_WR,T_WWSF_Q_from_Exposed_WR_CT,
Main Pit,In,T_WWSF_Q_from_RemainingCat,T_WWSF_Q_from_RemainingCat_CT,
Main Pit,In,T_EWSF_Pond_to_Main_Pit,T_EWSF_Pond_Main_Pit,T_EWSF_Pond_to_Main_Pit_CT
Main Pit,In,T_Main_WRD_Pond_to_Main_Pit,T_Main_WRD_Pond_to_MainPit_CT,T_Main_WRD_Pond_to_Main_Pit_CT
Main Pit,In,T_Dysons_WRD_Pond_to_Main_Pit,T_DysonsWRD_Pond_to_MainPit_CT,T_Dysons_WRD_Pond_to_Main_Pit_CT
Main Pit,In,T_Material_Moisture_Content,T_Material_Moisture_Content_CT,
Main Pit,In,T_GW_Induced_by_Pit_Dewatering,T_GW_InducedByPitDewatering_CT,T_GW_Induced_by_Pit_Dewatering_CT
Main Pit,In,T_RegionalGroundwaterInflow_MP,T_Regional_GW_Inflow_MP_CT,T_RegionalGroundwaterInflow_MP_CT
Main Pit,Out,T_Main_Pit_Pond_Evap,,
Main Pit,Out,T_Dewater_MainPit_via_PWTP,T_Dewater_MainPit_via_PWTP_CT,
Main Pit,Out,T_Dewater_MainPit_via_GWTP,T_Dewater_MP_via_GWTP_CT,T_Dewater_MainPit_via_GWTP_CT
Main Pit,Out,T_Gdw_Outflow_Main_Pit,T_GW_Outflow_Main_Pit_CT,T_Gdw_Outflow_Main_Pit_CT
Main Pit,Out,T_Overflow_Main_Pit,T_Overflow_Main_Pit_CT,
Intermediate Pit,In,T_Direct_Precip_Inter_Pit,T_Direct_Precip_InterPit_CT,T_Direct_Precip_Inter_Pit_CT
Intermediate Pit,In,T_Pit_Wall_Runoff_Inter_Pit,T_Pit_Wall_Runoff_InterPit_CT,T_Pit_Wall_Runoff_Inter_Pit_CT
Intermediate Pit,In,T_Local_Runoff_Inter_Pit,T_Local_Runoff_InterPit_CT,T_Local_Runoff_Inter_Pit_CT
Intermediate Pit,In,T_Overflow_Main_Pit,T_Overflow_Main_Pit_CT,
Intermediate Pit,In,T_Water_Diverted_from_EBFR,T_Diversion_to_IntermPit,T_Water_Diverted_from_EBFR_CT
Intermediate Pit,In,T_FreshwaterFrom_InterWRD_Pond,T_InterWRD_Pond_to_InterPit_CT,T_FreshwaterFrom_InterWRD_Pond_CT
Intermediate Pit,In,T_PWTP_to_top_up_IntermPit,T_PWTP_to_top_up_IntermPit_CT,T_PWTP_to_top_up_IntermPit_CT
Intermediate Pit,In,T_Groundwater_Inflow_Inter_Pit,T_GW_Inflow_InterPit_CT,T_Groundwater_Inflow_Inter_Pit_CT
Intermediate Pit,Out,T_Pond_Evap_Inter_Pit,,
Intermediate Pit,Out,T_Clean_water_to_GWTP,T_Q_for_GWTP_ReagentMixing_CT,T_Clean_water_to_GWTP_CT
Intermediate Pit,Out,T_DilutionH2O_for_GWTP_Outflow,T_DilutionH2OForGWTPOutflow_CT,T_DilutionH2O_for_GWTP_Outflow_CT
Intermediate Pit,Out,T_Water_Needs_from_Inter_Pit,T_Consumptive_Q_from_IntPit_CT,T_Water_Needs_from_Inter_Pit_CT
Intermediate Pit,Out,T_Inter_Pit_Overflow,T_Intermediate_Pit_Overflow_CT,T_Inter_Pit_Overflow_CT
Intermediate Pit,Out,T_Gdw_Outflow_InterPit,T_GW_Outflow_InterPit_CT,T_Gdw_Outflow_InterPit_CT
