Element,Flow_Name,Load_Name,X,Y,angle
Main Pit,T_Direct_Precip_Main_Pit,T_Direct_Precip_Main_Pit_CT,2800,1430,0
Main Pit,T_Pit_Wall_Runoff_Main,T_Pit_Wall_Runoff_Main_CT,3000,1400,0
Main Pit,T_Local_Runoff_Main_Pit,T_Local_Runoff_Main_Pit_CT,3000,1300,0
Main Pit,T_EBFR_US_to_Main_Pit,T_EBFR_US_to_Main_Pit_CT,3250,960,0
Main Pit,T_Main_WRD_Pond_to_Main_Pit,T_Main_WRD_Pond_to_Main_Pit_CT,,,
Main Pit,T_Material_Moisture_Content,T_Material_Moisture_Content_CT,2400,1360,0
Main Pit,T_GW_Inflows_to_Main_Pit,T_GW_Inflows_to_Main_Pit_CT,,,
Main Pit,T_RegionalGroundwaterInflow_MP,T_RegionalGroundwaterInflow_MP_CT,,,
Main Pit,T_Gdw_Inflow_Main_Pit,T_Gdw_Inflow_Main_Pit_CT,3000,1120,0
Main Pit,T_Main_Pit_Pond_Evap,T_Main_Pit_Pond_Evap_CT,2685,1430,0
Main Pit,T_Dewater_MainPit_via_PWTP,T_Dewater_MainPit_via_PWTP_CT,2050,1400,0
Main Pit,T_Dewater_MainPit_via_GWTP,T_Dewater_MainPit_via_GWTP_CT,2050,1160,0
Main Pit,T_Gdw_Outflow_Main_Pit,T_Gdw_Outflow_Main_Pit_CT,2500,1220,0
Main Pit,T_Overflow_Main_Pit,T_Overflow_Main_Pit_CT,2000,1250,0
Intermediate Pit,T_Direct_Precip_Inter_Pit,T_Direct_Precip_Inter_Pit_CT,860,1400,0
Intermediate Pit,T_Pit_Wall_Runoff_Inter_Pit,T_Pit_Wall_Runoff_Inter_Pit_CT,1050,1380,0
Intermediate Pit,T_Local_Runoff_Inter_Pit,T_Local_Runoff_Inter_Pit_CT,1050,1260,0
Intermediate Pit,T_Overflow_Main_Pit,T_Overflow_Main_Pit_CT,,,
Intermediate Pit,T_Water_Diverted_from_EBFR,T_Water_Diverted_from_EBFR_CT,1010,900,90
Intermediate Pit,T_FreshwaterFrom_InterWRD_Pond,T_FreshwaterFrom_InterWRD_Pond_CT,1530,900,90
Intermediate Pit,T_PWTP_to_top_up_IntermPit,T_PWTP_to_top_up_IntermPit_CT,1700,1670,0
Intermediate Pit,T_Gdw_Inflows_Inter_Pit,T_Gdw_Inflows_Inter_Pit_CT,1050,1150,0
Intermediate Pit,T_Gdw_Outflow_InterPit,T_Gdw_Outflow_InterPit_CT,650,1125,0
Intermediate Pit,T_Pond_Evap_Inter_Pit,T_Pond_Evap_Inter_Pit_CT,730,1400,0
Intermediate Pit,T_Clean_water_to_GWTP,T_Clean_water_to_GWTP_CT,1185,1750,90
Intermediate Pit,T_DilutionH2O_for_GWTP_Outflow,T_DilutionH2O_for_GWTP_Outflow_CT,400,1325,0
Intermediate Pit,T_Water_Needs_from_Inter_Pit,T_Water_Needs_from_Inter_Pit_CT,700,1800,90
Intermediate Pit,T_Inter_Pit_Overflow,T_Inter_Pit_Overflow_CT,875,900,90
Main WRD,T_Direct_Precip_Main_WRD_Pond,T_Direct_Precip_Main_WRD_Pond_CT,2730,325,0
Main WRD,T_TreatedWater_to_MainWRD_pond,T_TreatedWater_to_MainWRD_pond_CT,1600,1850,0
Main WRD,T_Q_to_MainWRD_Pond_ExposedWR,T_Q_to_MainWRD_Pond_ExposedWR_CT,2950,270,0
Main WRD,T_Q_to_MainWRD_Pond_Background,T_Q_to_MainWRD_Pond_Background_CT,2950,140,0
Main WRD,T_Main_WRD_Pond_to_Evap,T_Main_WRD_Pond_to_Evap_CT,2610,325,0
Main WRD,T_Main_WRD_Pond_to_GWTP,T_Main_WRD_Pond_to_GWTP_CT,2200,400,0
Main WRD,T_Main_WRD_Pond_to_Main_Pit,T_Main_WRD_Pond_to_Main_Pit_CT,,,
